Q_num,Var_Name,Type,New Variable Name,Q_Scale,Unnamed: 5
Q139P,Things done for reasons of security: Didn’t carry much money ,Binary,safety13,"1=Yes 
0=No",
Q140P,Things done for reasons of security: Preferred not to go out at night ,Binary,safety14,"1=Yes 
0=No",
Q141P,"Things done for reasons of security: Carried a knife, gun or other weapon",Binary,safety15,"1=Yes 
0=No",
Q142P,Worries: Losing my job or not finding a job,Ordinal,safety16,"4=Very much 
3=A good deal 
2=Not much 
1=Not at all",
Q143P,Worries: Not being able to give one ́s children a good education,Ordinal,safety17,"4=Very much 
3=A good deal 
2=Not much 
1=Not at all",
Q144P,Respondent was victim of a crime during the past year,Binary,safety18,"1=Yes 
0=No",
Q145P,Respondent ́s family was victim of a crime during last year,Binary,safety19,"1=Yes 
0=No",
Q146P,Worries: A war involving my country ,Ordinal,safety20,"4=Very much 
3=A good deal 
2=Not much 
1=Not at all",
Q147P,Worries: A terrorist attack,Ordinal,safety21,"4=Very much 
3=A good deal 
2=Not much 
1=Not at all",
Q148P,Worries: A civil war,Ordinal,safety22,"4=Very much 
3=A good deal 
2=Not much 
1=Not at all",
Q149,Freedom and Equality - Which more important ,Nominal,freedom_eq,"1. Freedom 
2. Equality",
Q150,Freedom and security - Which more important ,Nominal,freedom_sec,"1. Freedom 
2. Security",
Q151P,Willingness to fight for country,Binary,civic21,"1=Yes 
0=No ",
Q152,Aims of country: first choice,Nominal,country_aim1,"1.- A high level of economic growth 
2.- Strong defence forces 
3.- People have more say about how things are done  
4.- Trying to make our cities and countryside more beautiful",
Q153,Aims of country: second choice,Nominal,country_aim2,"1.- A high level of economic growth 
2.- Making sure this country has strong defence forces  
3.- Seeing that people have more say about how  are done at their jobs and in their 
communities 
4.- Trying to make our cities and countryside more beautiful",
Q154,Aims of respondent: first choice,Nominal,respon_aim1,"1.- Maintaining order in the nation 
2.- Giving people more say in important government decisions  
3.- Fighting rising prices 
4.- Protecting freedom of speech",
Q155,Aims of respondent: second choice,Nominal,respon_aim2,"1.- Maintaining order in the nation 
2.- Giving people more say in important government decisions  
3.- Fighting rising prices 
4.- Protecting freedom of speech",
