Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.7738195615514334,0.8053031345843563,0.7691280826248859
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.7731169196177627,0.7763439095454152,0.7704630085013701
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7713603147835862,0.8313593078864436,0.7663177123586032
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7691821247892074,0.7979079441353706,0.7610482681093234
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.7672849915682968,0.7787983510395002,0.7620318977025223
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.766371557054525,0.7770907443264141,0.764982786482119
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.7655283867341203,0.7902793239489766,0.7627344902690929
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.7639825744800449,0.7515799021969509,0.7568327127098995
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.761663856098932,0.7810932220507195,0.7589404904096114
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7614530635188308,0.7855225312639427,0.7510714536640203
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.7608206857785272,0.7467550458926073,0.7604861940560669
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.7606801573917932,0.7383079376217986,0.7644909716855196
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.7565345699831366,0.809971328250501,0.7506498981240779
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.7554103428892637,0.794386443973093,0.7446076020515703
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.7551995503091624,0.8085528615678232,0.7460830464413687
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.7491568296795953,0.7293937693351616,0.7375114171292068
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7488757729061271,0.7560759715129086,0.7422890465818872
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7483136593591906,0.7763993390809991,0.748542120424366
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.7472596964586846,0.7450640439752747,0.7380032319258062
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.7469786396852164,0.8056340874156664,0.73456052834961
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.01}",0.7435356942102305,0.7750933959598847,0.739970491112204
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7413575042158516,0.773272884657313,0.7323824913932411
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7404440697020798,0.7619964435254853,0.7384247874657486
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7402332771219786,0.7676224611708483,0.7303449729501862
